run,copy_c_to_q_physical,reverse_q_to_c_physical,sum,valid_total,invalid_total,trials,valid_rate,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
q34_idea24_copy_3_2,3,2,27,0,200,200,0.0,4,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,28,0,200,200,0.0,3,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,29,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,30,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_2_1,2,1,0,62,138,200,0.31,1,1,1.0,1.0,0.0
q34_idea24_copy_2_1,2,1,1,62,138,200,0.31,2,1,0.5,0.0,0.5
q34_idea24_copy_2_1,2,1,2,104,96,200,0.52,3,2,0.6666666666666666,0.5618376711211266,0.3589743589743589
q34_idea24_copy_2_1,2,1,3,104,96,200,0.52,4,2,0.5,0.44524582010974567,0.5
q34_idea24_copy_2_1,2,1,4,194,6,200,0.97,5,3,0.6,0.5774092410168976,0.5072164948453608
q34_idea24_copy_2_1,2,1,5,195,5,200,0.975,6,5,0.8333333333333334,0.8276389447103836,0.2846153846153846
q34_idea24_copy_2_1,2,1,6,195,5,200,0.975,7,4,0.5714285714285714,0.7088437271475917,0.4285714285714286
q34_idea24_copy_2_1,2,1,7,196,4,200,0.98,8,8,1.0,0.9152693002264243,0.25
q34_idea24_copy_2_1,2,1,8,184,16,200,0.92,9,4,0.4444444444444444,0.4178737078500169,0.6853864734299517
q34_idea24_copy_2_1,2,1,9,185,15,200,0.925,10,5,0.5,0.5751965967165003,0.6081081081081081
q34_idea24_copy_2_1,2,1,10,187,13,200,0.935,11,6,0.5454545454545454,0.6565184280272154,0.5401069518716578
q34_idea24_copy_2_1,2,1,11,188,12,200,0.94,12,8,0.6666666666666666,0.7477516461327126,0.41134751773049644
q34_idea24_copy_2_1,2,1,12,193,7,200,0.965,13,6,0.46153846153846156,0.5460145924576586,0.5998405739338382
q34_idea24_copy_2_1,2,1,13,194,6,200,0.97,14,10,0.7142857142857143,0.7053214916023869,0.4683357879234168
q34_idea24_copy_2_1,2,1,14,194,6,200,0.97,15,8,0.5333333333333333,0.7087477879961106,0.5123711340206185
q34_idea24_copy_2_1,2,1,15,195,5,200,0.975,16,15,0.9375,0.8577190831637326,0.3737179487179487
q34_idea24_copy_2_1,2,1,16,185,15,200,0.925,15,5,0.3333333333333333,0.4941151159976834,0.7171171171171171
q34_idea24_copy_2_1,2,1,17,186,14,200,0.93,14,7,0.5,0.6601312723927288,0.5568356374807988
q34_idea24_copy_2_1,2,1,18,189,11,200,0.945,13,6,0.46153846153846156,0.6363533545863881,0.5384615384615384
q34_idea24_copy_2_1,2,1,19,190,10,200,0.95,12,10,0.8333333333333334,0.7682226333137939,0.41929824561403506
q34_idea24_copy_2_1,2,1,20,192,8,200,0.96,11,3,0.2727272727272727,0.3881093403896548,0.7272727272727273
q34_idea24_copy_2_1,2,1,21,193,7,200,0.965,10,5,0.5,0.6425353830505053,0.5067357512953368
q34_idea24_copy_2_1,2,1,22,193,7,200,0.965,9,4,0.4444444444444444,0.6280367863765902,0.5555555555555556
q34_idea24_copy_2_1,2,1,23,194,6,200,0.97,8,8,1.0,0.912249932896404,0.25257731958762886
q34_idea24_copy_2_1,2,1,24,127,73,200,0.635,7,2,0.2857142857142857,0.194603542551962,0.7311586051743533
q34_idea24_copy_2_1,2,1,25,128,72,200,0.64,6,3,0.5,0.548697771540763,0.5416666666666667
q34_idea24_copy_2_1,2,1,26,88,112,200,0.44,5,2,0.4,0.40314832918422844,0.6
q34_idea24_copy_2_1,2,1,27,89,111,200,0.445,4,4,1.0,0.9171886778942344,0.22191011235955055
q34_idea24_copy_2_1,2,1,28,0,200,200,0.0,3,0,0.0,0.0,1.0
q34_idea24_copy_2_1,2,1,29,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_2_1,2,1,30,0,200,200,0.0,1,0,0.0,0.0,1.0
