run,pattern,sum,valid_total,invalid_total,trials,valid_rate,parallel,reverse,block_rnd,copy_rnd,scramble_rnd,blocks,copy_cycles,settle_cycles,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,6,993,7,1000,0.993,true,false,4,0,8,"10,8,16,6",2,160,7,7,1.0,0.9320978522950891,0.21694720184146166
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,7,994,6,1000,0.994,true,false,4,0,8,"10,8,16,6",2,160,8,7,0.875,0.7189139318413985,0.47132796780684105
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,8,991,9,1000,0.991,true,false,4,0,8,"10,8,16,6",2,160,9,6,0.6666666666666666,0.6273549241636184,0.5576858392196434
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,9,993,7,1000,0.993,true,false,4,0,8,"10,8,16,6",2,160,10,6,0.6,0.6601310976636129,0.48489425981873113
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,10,991,9,1000,0.991,true,false,4,0,8,"10,8,16,6",2,160,11,8,0.7272727272727273,0.8185443550075154,0.3687735070177048
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,11,993,7,1000,0.993,true,false,4,0,8,"10,8,16,6",2,160,12,6,0.5,0.6426669059301217,0.5682275931520644
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,12,990,10,1000,0.99,true,false,4,0,8,"10,8,16,6",2,160,13,6,0.46153846153846156,0.6765611943892491,0.5384615384615384
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,13,995,5,1000,0.995,true,false,4,0,8,"10,8,16,6",2,160,14,9,0.6428571428571429,0.642434439600197,0.5644651830581479
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,14,994,6,1000,0.994,true,false,4,0,8,"10,8,16,6",2,160,15,11,0.7333333333333333,0.7971563161786243,0.4340040241448692
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,15,995,5,1000,0.995,true,false,4,0,8,"10,8,16,6",2,160,16,11,0.6875,0.7336898343915969,0.5013819095477386
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,16,992,8,1000,0.992,true,false,4,0,8,"10,8,16,6",2,160,15,10,0.6666666666666666,0.6988109741912696,0.5154569892473119
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,17,993,7,1000,0.993,true,false,4,0,8,"10,8,16,6",2,160,14,7,0.5,0.616908025003325,0.596460940871817
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,18,991,9,1000,0.991,true,false,4,0,8,"10,8,16,6",2,160,13,8,0.6153846153846154,0.7133999240426421,0.49250950865481646
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,19,992,8,1000,0.992,true,false,4,0,8,"10,8,16,6",2,160,12,6,0.5,0.533584005769866,0.6411290322580645
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,20,989,11,1000,0.989,true,false,4,0,8,"10,8,16,6",2,160,11,5,0.45454545454545453,0.5202425954251015,0.63323834911297
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,21,994,6,1000,0.994,true,false,4,0,8,"10,8,16,6",2,160,10,6,0.6,0.6320575786679326,0.547082494969819
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,22,993,7,1000,0.993,true,false,4,0,8,"10,8,16,6",2,160,9,7,0.7777777777777778,0.8256775294476975,0.3437395099026519
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,23,994,6,1000,0.994,true,false,4,0,8,"10,8,16,6",2,160,8,7,0.875,0.7189139318413985,0.47132796780684105
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,24,991,9,1000,0.991,true,false,4,0,8,"10,8,16,6",2,160,7,6,0.8571428571428571,0.7083778553467115,0.4624477439815482
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,25,521,479,1000,0.521,true,false,4,0,8,"10,8,16,6",2,160,6,3,0.5,0.34526392450492027,0.63787587971849
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,26,292,708,1000,0.292,true,false,4,0,8,"10,8,16,6",2,160,5,3,0.6,0.6013413946876152,0.47328767123287674
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,27,93,907,1000,0.093,true,false,4,0,8,"10,8,16,6",2,160,4,1,0.25,0.0,0.75
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,28,93,907,1000,0.093,true,false,4,0,8,"10,8,16,6",2,160,3,1,0.3333333333333333,0.0,0.6666666666666667
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,29,0,1000,1000,0.0,true,false,4,0,8,"10,8,16,6",2,160,2,0,0.0,0.0,1.0
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,30,0,1000,1000,0.0,true,false,4,0,8,"10,8,16,6",2,160,1,0,0.0,0.0,1.0
sum_idea34_integer4,idea 3+4 integer shadow/window,0,90,910,1000,0.09,false,false,1,0,2,"40,40,40,40",2,160,1,1,1.0,1.0,0.0
sum_idea34_integer4,idea 3+4 integer shadow/window,1,190,810,1000,0.19,false,false,1,0,2,"40,40,40,40",2,160,2,2,1.0,0.9996802655667462,0.01052631578947369
sum_idea34_integer4,idea 3+4 integer shadow/window,2,316,684,1000,0.316,false,false,1,0,2,"40,40,40,40",2,160,3,3,1.0,0.9999634602663814,0.004219409282700454
sum_idea34_integer4,idea 3+4 integer shadow/window,3,438,562,1000,0.438,false,false,1,0,2,"40,40,40,40",2,160,4,4,1.0,0.9957053668660528,0.045662100456621016
sum_idea34_integer4,idea 3+4 integer shadow/window,4,552,448,1000,0.552,false,false,1,0,2,"40,40,40,40",2,160,5,5,1.0,0.9967321993238495,0.039492753623188395
sum_idea34_integer4,idea 3+4 integer shadow/window,5,647,353,1000,0.647,false,false,1,0,2,"40,40,40,40",2,160,6,6,1.0,0.9994352557986369,0.01519835136527567
sum_idea34_integer4,idea 3+4 integer shadow/window,6,798,202,1000,0.798,false,false,1,0,2,"40,40,40,40",2,160,7,7,1.0,0.9992566125713563,0.021303258145363407
sum_idea34_integer4,idea 3+4 integer shadow/window,7,889,111,1000,0.889,false,false,1,0,2,"40,40,40,40",2,160,8,8,1.0,0.9988490904623856,0.03205849268841394
sum_idea34_integer4,idea 3+4 integer shadow/window,8,880,120,1000,0.88,false,false,1,0,2,"40,40,40,40",2,160,9,9,1.0,0.9764415543360616,0.11881313131313133
sum_idea34_integer4,idea 3+4 integer shadow/window,9,872,128,1000,0.872,false,false,1,0,2,"40,40,40,40",2,160,10,10,1.0,0.9668610817110056,0.1786697247706422
sum_idea34_integer4,idea 3+4 integer shadow/window,10,895,105,1000,0.895,false,false,1,0,2,"40,40,40,40",2,160,11,11,1.0,0.970000780944426,0.18344337227018792
sum_idea34_integer4,idea 3+4 integer shadow/window,11,905,95,1000,0.905,false,false,1,0,2,"40,40,40,40",2,160,12,12,1.0,0.9731219805257554,0.1716390423572744
sum_idea34_integer4,idea 3+4 integer shadow/window,12,894,106,1000,0.894,false,false,1,0,2,"40,40,40,40",2,160,13,13,1.0,0.9771883233333504,0.1417139907072793
sum_idea34_integer4,idea 3+4 integer shadow/window,13,885,115,1000,0.885,false,false,1,0,2,"40,40,40,40",2,160,14,14,1.0,0.9798897843627232,0.12130750605326876
sum_idea34_integer4,idea 3+4 integer shadow/window,14,896,104,1000,0.896,false,false,1,0,2,"40,40,40,40",2,160,15,15,1.0,0.9964390391600139,0.0459077380952381
sum_idea34_integer4,idea 3+4 integer shadow/window,15,901,99,1000,0.901,false,false,1,0,2,"40,40,40,40",2,160,16,16,1.0,0.998271844935523,0.04238346281908992
sum_idea34_integer4,idea 3+4 integer shadow/window,16,890,110,1000,0.89,false,false,1,0,2,"40,40,40,40",2,160,15,15,1.0,0.9947404102301403,0.06367041198501873
sum_idea34_integer4,idea 3+4 integer shadow/window,17,881,119,1000,0.881,false,false,1,0,2,"40,40,40,40",2,160,14,14,1.0,0.990229513138762,0.0797794713799254
